type,sku,art,kollektion,masse,farbe,ean,,,,,,,
variant_child,RDFenth25x25,Gabbeh,Fenth,25 x 25 cm,Red,4251469490680,,,,,,,
variant_child,RDFenth90x60,Gabbeh,Fenth,90 x 60 cm,Red,4251469452671,,,,,,,
variant_child,RDFenth140x70,Gabbeh,Fenth,140 x 70 cm,Red,4251469451810,,,,,,,
variant_child,RDFenth200x140,Gabbeh,Fenth,200 x 140 cm,Red,4251469401358,,,,,,,
variant_child,RDFenth240x170,Gabbeh,Fenth,240 x 170 cm,Red,4251469401365,,,,,,,
variant_child,RDFenth300x200,Gabbeh,Fenth,300 x 200 cm,Red,4251469401396,,,,,,,
variant_child,RDFenth300x250,Gabbeh,Fenth,300 x 250 cm,Red,4251469452886,,,,,,,
variant_child,RDFenth350x250,Gabbeh,Fenth,350 x 250 cm,Red,4251469401419,,,,,,,
variant_child,RDFenth400x300,Gabbeh,Fenth,400 x 300 cm,Red,4251469490062,,,,,,,
variant_child,RDFenth200x80,Gabbeh,Fenth,200 x 80 cm,Red,4251469401280,,,,,,,
variant_child,RDFenth300x80,Gabbeh,Fenth,300 x 80 cm,Red,4251469401303,,,,,,,
variant_child,ORFenth25x25,Gabbeh,Fenth,25 x 25 cm,Orange,4251469490697,,,,,,,
variant_child,ORFenth90x60,Gabbeh,Fenth,90 x 60 cm,Orange,4251469452725,,,,,,,
variant_child,ORFenth140x70,Gabbeh,Fenth,140 x 70 cm,Orange,4251469401433,,,,,,,
variant_child,ORFenth200x140,Gabbeh,Fenth,200 x 140 cm,Orange,4251469401495,,,,,,,
variant_child,ORFenth240x170,Gabbeh,Fenth,240 x 170 cm,Orange,4251469401501,,,,,,,
variant_child,ORFenth300x200,Gabbeh,Fenth,300 x 200 cm,Orange,4251469401532,,,,,,,
variant_child,ORFenth300x250,Gabbeh,Fenth,300 x 250 cm,Orange,4251469401549,,,,,,,
variant_child,ORFenth350x250,Gabbeh,Fenth,350 x 250 cm,Orange,4251469401556,,,,,,,
variant_child,ORFenth200x80,Gabbeh,Fenth,200 x 80 cm,Orange,4251469401440,,,,,,,
variant_child,ORFenth300x80,Gabbeh,Fenth,300 x 80 cm,Orange,4251469401464,,,,,,,
variant_child,GDFenth25x25,Gabbeh,Fenth,25 x 25 cm,Gold,4251469490703,,,,,,,
variant_child,GDFenth90x60,Gabbeh,Fenth,90 x 60 cm,Gold,4251469451186,,,,,,,
variant_child,GDFenth140x70,Gabbeh,Fenth,140 x 70 cm,Gold,4251469401570,,,,,,,
variant_child,GDFenth200x140,Gabbeh,Fenth,200 x 140 cm,Gold,4251469401648,,,,,,,
variant_child,GDFenth240x170,Gabbeh,Fenth,240 x 170 cm,Gold,4251469401655,,,,,,,
variant_child,GDFenth300x200,Gabbeh,Fenth,300 x 200 cm,Gold,4251469401679,,,,,,,
variant_child,GDFenth300x250,Gabbeh,Fenth,300 x 250 cm,Gold,4251469452893,,,,,,,
variant_child,GDFenth350x250,Gabbeh,Fenth,350 x 250 cm,Gold,4251469401686,,,,,,,
variant_child,GDFenth400x300,Gabbeh,Fenth,400 x 300 cm,Gold,4251469490079,,,,,,,
variant_child,GDFenth200x80,Gabbeh,Fenth,200 x 80 cm,Gold,4251469401587,,,,,,,
variant_child,GDFenth300x80,Gabbeh,Fenth,300 x 80 cm,Gold,4251469401600,,,,,,,
variant_child,GRFenth25x25,Gabbeh,Fenth,25 x 25 cm,Green,4251469490710,,,,,,,
variant_child,GRFenth90x60,Gabbeh,Fenth,90 x 60 cm,Green,4251469451193,,,,,,,
variant_child,GRFenth140x70,Gabbeh,Fenth,140 x 70 cm,Green,4251469401709,,,,,,,
variant_child,GRFenth200x140,Gabbeh,Fenth,200 x 140 cm,Green,4251469452619,,,,,,,
variant_child,GRFenth240x170,Gabbeh,Fenth,240 x 170 cm,Green,4251469401785,,,,,,,
variant_child,GRFenth300x200,Gabbeh,Fenth,300 x 200 cm,Green,4251469401839,,,,,,,
variant_child,GRFenth300x250,Gabbeh,Fenth,300 x 250 cm,Green,4251469401846,,,,,,,
variant_child,GRFenth350x250,Gabbeh,Fenth,350 x 250 cm,Green,4251469401853,,,,,,,
variant_child,GRFenth200x80,Gabbeh,Fenth,200 x 80 cm,Green,4251469401716,,,,,,,
variant_child,GRFenth300x80,Gabbeh,Fenth,300 x 80 cm,Green,4251469401730,,,,,,,
variant_child,BGFenth25x25,Gabbeh,Fenth,25 x 25 cm,Beige,4251469490727,,,,,,,
variant_child,BGFenth90x60,Gabbeh,Fenth,90 x 60 cm,Beige,4251469452633,,,,,,,
variant_child,BGFenth140x70,Gabbeh,Fenth,140 x 70 cm,Beige,4251469452640,,,,,,,
variant_child,BGFenth200x140,Gabbeh,Fenth,200 x 140 cm,Beige,4251469401914,,,,,,,
variant_child,BGFenth240x170,Gabbeh,Fenth,240 x 170 cm,Beige,4251469401921,,,,,,,
variant_child,BGFenth300x200,Gabbeh,Fenth,300 x 200 cm,Beige,4251469401952,,,,,,,
variant_child,BGFenth300x250,Gabbeh,Fenth,300 x 250 cm,Beige,4251469452909,,,,,,,
variant_child,BGFenth350x250,Gabbeh,Fenth,350 x 250 cm,Beige,4251469401976,,,,,,,
variant_child,BGFenth400x300,Gabbeh,Fenth,400 x 300 cm,Beige,4251469401983,,,,,,,
variant_child,BGFenth200x80,Gabbeh,Fenth,200 x 80 cm,Beige,4251469401884,,,,,,,
variant_child,BGFenth300x80,Gabbeh,Fenth,300 x 80 cm,Beige,4251469401891,,,,,,,
variant_child,BLFenth25x25,Gabbeh,Fenth,25 x 25 cm,Blue,4251469490734,,,,,,,
variant_child,BLFenth90x60,Gabbeh,Fenth,90 x 60 cm,Blue,4251469451216,,,,,,,
variant_child,BLFenth140x70,Gabbeh,Fenth,140 x 70 cm,Blue,4251469452916,,,,,,,
variant_child,BLFenth200x140,Gabbeh,Fenth,200 x 140 cm,Blue,4251469451674,,,,,,,
variant_child,BLFenth240x170,Gabbeh,Fenth,240 x 170 cm,Blue,4251469402034,,,,,,,
variant_child,BLFenth300x200,Gabbeh,Fenth,300 x 200 cm,Blue,4251469402065,,,,,,,
variant_child,BLFenth300x250,Gabbeh,Fenth,300 x 250 cm,Blue,4251469402072,,,,,,,
variant_child,BLFenth350x250,Gabbeh,Fenth,350 x 250 cm,Blue,4251469452923,,,,,,,
variant_child,BLFenth200x80,Gabbeh,Fenth,200 x 80 cm,Blue,4251469401990,,,,,,,
variant_child,BLFenth300x80,Gabbeh,Fenth,300 x 80 cm,Blue,4251469402003,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
